region;periodo;CBA;CBT;codigo
pampeana;2018.4;3212,48666666667;8009,99;43
patagonia;2018.4;3341,05;9444,38666666667;44
cuyo;2019.1;3196,64333333333;8448,32;42
gran_buenos_aires;2019.1;3595,93666666667;8928,18666666667;1
noreste;2019.1;3188,49333333333;7417,52333333333;41
noroeste;2019.1;3112,08333333333;7177,49;40
pampeana;2019.1;3560,38666666667;8839,95666666667;43
patagonia;2019.1;3688,92333333333;10413,4066666667;44
cuyo;2019.2;3472,48666666667;9272,14666666667;42
gran_buenos_aires;2019.2;3920,31666666667;9814,44333333333;1
noreste;2019.2;3471,27;8146,19666666667;41
noroeste;2019.2;3396,72;7892,24333333333;40
pampeana;2019.2;3867,10333333333;9681,23333333333;43
patagonia;2019.2;4004,81;11374,38;44
cuyo;2019.3;3831,78666666667;10179,8533333333;42
gran_buenos_aires;2019.3;4309,17;10758,6233333333;1
noreste;2019.3;3852,99333333333;9003,21333333333;41
noroeste;2019.3;3751,75666666667;8691,62666666667;40
pampeana;2019.3;4256,20333333333;10626,3866666667;43
patagonia;2019.3;4461,78333333333;12656,66;44
cuyo;2019.4;4323,53666666667;11499,7166666667;42
gran_buenos_aires;2019.4;4841,98333333333;12103,9933333333;1
noreste;2019.4;4349,90333333333;10177,8566666667;41
noroeste;2019.4;4233,95333333333;9821,87;40
pampeana;2019.4;4803,07333333333;11990,5166666667;43
patagonia;2019.4;5037,27;14287,89;44
cuyo;2020.1;4860,63;12571,92;42
gran_buenos_aires;2020.1;5460,4;13285,6033333333;1
noreste;2020.1;4892,80666666667;11138,34;41
noroeste;2020.1;4742,05666666667;10700,3466666667;40
pampeana;2020.1;5417,25333333333;13180,48;43
patagonia;2020.1;5672,95;15655,7233333333;44
cuyo;2020.2;5133,55666666667;13159,1533333333;42
gran_buenos_aires;2020.2;5803,82;13968,1833333333;1
noreste;2020.2;5170,19;11650,3266666667;41
noroeste;2020.2;5042,72;11262,28;40
pampeana;2020.2;5727,34333333333;13784,0866666667;43
patagonia;2020.2;5974,18333333333;16349,52;44
cuyo;2020.3;5388,82933666667;13939,2133333333;42
gran_buenos_aires;2020.3;6099,71666666667;14802,0366666667;1
noreste;2020.3;5451,66520666667;12411,69;41
noroeste;2020.3;5298,00186666667;11955,91;40
pampeana;2020.3;6011,61541333333;14588,2866666667;43
patagonia;2020.3;6307,29345;17387,1566666667;44
cuyo;2020.4;6226,30259666667;15896,0833333333;42
gran_buenos_aires;2020.4;7008,02;16817,1233333333;1
noreste;2020.4;6276,49018;14100,19;41
noroeste;2020.4;6089,17466666667;13557,75;40
pampeana;2020.4;6958,72746666667;16698,9666666667;43
patagonia;2020.4;7291,5957;19855,18;44
cuyo;2021.1;7053,95609435956;17775,1466666667;42
gran_buenos_aires;2021.1;7980,85333333333;18913,7;1
noreste;2021.1;7168,82801982934;15890,9733333333;41
noroeste;2021.1;6868,65139342052;15088,2166666667;40
pampeana;2021.1;7893,06305786794;18705,6866666667;43
patagonia;2021.1;8313,1459855193;22361,4;44
cuyo;2021.2;7827,28192666667;19566,5466666667;42
gran_buenos_aires;2021.2;8901,20333333333;20915,9533333333;1
noreste;2021.2;7976,99985333333;17547,7566666667;41
noroeste;2021.2;7672,19786666667;16723,7466666667;40
pampeana;2021.2;8741,99381333333;20541,9;43
patagonia;2021.2;9145,56015;24416,9066666667;44
cuyo;2021.3;8434,44666666667;21002,89;42
gran_buenos_aires;2021.3;9517,79333333333;22272,7233333333;1
noreste;2021.3;8543,85666666667;18712,0766666667;41
noroeste;2021.3;8257,29333333333;17919,4033333333;40
pampeana;2021.3;9397,51666666667;21928,5533333333;43
patagonia;2021.3;9774,03333333333;25934,7566666667;44
cuyo;2021.4;9203,95333333333;22792,2866666667;42
gran_buenos_aires;2021.4;10314,2833333333;23994,5233333333;1
noreste;2021.4;9312,75333333333;20267,58;41
noroeste;2021.4;8985,07666666667;19375,1933333333;40
pampeana;2021.4;10231,09;23801,1266666667;43
patagonia;2021.4;10665,5466666667;28152,2533333333;44
cuyo;2022.1;10803,1033333333;25948,5933333333;42
gran_buenos_aires;2022.1;12039,9333333333;27197,64;1
noreste;2022.1;10923,4033333333;23070,0366666667;41
noroeste;2022.1;10516,0266666667;21999,4366666667;40
pampeana;2022.1;12003,11;27073,84;43
patagonia;2022.1;12511,2433333333;32053,2266666667;44
cuyo;2022.2;12850,6766666667;30672,2333333333;42
gran_buenos_aires;2022.2;14406,7866666667;32271,2;1
noreste;2022.2;12996;27250,2733333333;41
noroeste;2022.2;12536,27;26075,4433333333;40
pampeana;2022.2;14256,4;31934,3366666667;43
patagonia;2022.2;14881,1366666667;37849,9866666667;44
cuyo;2022.3;15317,9133333333;36813,92;42
gran_buenos_aires;2022.3;17172,3066666667;38756,0533333333;1
